"Code","CodeType","NewCode","Deficit"
"285.89","ICD9","28589","Anemia"
"285.09","ICD9","28509","Anemia"
"285.03","ICD9","28503","Anemia"
"285.29","ICD9","28529","Anemia"
"285.92","ICD9","28592","Anemia"
"285.00","ICD9","28500","Anemia"
"285.83","ICD9","28583","Anemia"
"285.08","ICD9","28508","Anemia"
"285.3","ICD9","2853","Anemia"
"285.81","ICD9","28581","Anemia"
"285.05","ICD9","28505","Anemia"
"285.22","ICD9","28522","Anemia"
"285.8","ICD9","2858","Anemia"
"285.02","ICD9","28502","Anemia"
"285.90","ICD9","28590","Anemia"
"285.93","ICD9","28593","Anemia"
"285.0","ICD9","2850","Anemia"
"427.31","ICD9","42731","AFIB"
"144.8","ICD9","1448","Cancer"
"142.8","ICD9","1428","Cancer"
"148.2","ICD9","1482","Cancer"
"146.6","ICD9","1466","Cancer"
"145.8","ICD9","1458","Cancer"
"145.3","ICD9","1453","Cancer"
"144.1","ICD9","1441","Cancer"
"141.4","ICD9","1414","Cancer"
"145.5","ICD9","1455","Cancer"
"142.0","ICD9","1420","Cancer"
"140.8","ICD9","1408","Cancer"
"146.3","ICD9","1463","Cancer"
"143.0","ICD9","1430","Cancer"
"143.1","ICD9","1431","Cancer"
"149.1","ICD9","1491","Cancer"
"140.3","ICD9","1403","Cancer"
"144.9","ICD9","1449","Cancer"
"145.6","ICD9","1456","Cancer"
"146.4","ICD9","1464","Cancer"
"141.9","ICD9","1419","Cancer"
"147.1","ICD9","1471","Cancer"
"149.0","ICD9","1490","Cancer"
"146.0","ICD9","1460","Cancer"
"143.9","ICD9","1439","Cancer"
"146.5","ICD9","1465","Cancer"
"146.8","ICD9","1468","Cancer"
"140.4","ICD9","1404","Cancer"
"149.9","ICD9","1499","Cancer"
"148.1","ICD9","1481","Cancer"
"148.8","ICD9","1488","Cancer"
"141.1","ICD9","1411","Cancer"
"147.2","ICD9","1472","Cancer"
"140.5","ICD9","1405","Cancer"
"142.2","ICD9","1422","Cancer"
"143.8","ICD9","1438","Cancer"
"141.0","ICD9","1410","Cancer"
"148.9","ICD9","1489","Cancer"
"140.1","ICD9","1401","Cancer"
"140.6","ICD9","1406","Cancer"
"148.3","ICD9","1483","Cancer"
"141.6","ICD9","1416","Cancer"
"142.1","ICD9","1421","Cancer"
"145.1","ICD9","1451","Cancer"
"146.7","ICD9","1467","Cancer"
"147.9","ICD9","1479","Cancer"
"142.9","ICD9","1429","Cancer"
"145.4","ICD9","1454","Cancer"
"140.9","ICD9","1409","Cancer"
"141.3","ICD9","1413","Cancer"
"149.8","ICD9","1498","Cancer"
"145.9","ICD9","1459","Cancer"
"148.0","ICD9","1480","Cancer"
"141.8","ICD9","1418","Cancer"
"147.8","ICD9","1478","Cancer"
"147.3","ICD9","1473","Cancer"
"145.0","ICD9","1450","Cancer"
"141.2","ICD9","1412","Cancer"
"141.5","ICD9","1415","Cancer"
"145.2","ICD9","1452","Cancer"
"146.9","ICD9","1469","Cancer"
"140.0","ICD9","1400","Cancer"
"147.0","ICD9","1470","Cancer"
"146.2","ICD9","1462","Cancer"
"146.1","ICD9","1461","Cancer"
"144.0","ICD9","1440","Cancer"
"157.2","ICD9","1572","Cancer"
"159.1","ICD9","1591","Cancer"
"151.0","ICD9","1510","Cancer"
"150.4","ICD9","1504","Cancer"
"157.1","ICD9","1571","Cancer"
"154.3","ICD9","1543","Cancer"
"153.9","ICD9","1539","Cancer"
"151.1","ICD9","1511","Cancer"
"154.0","ICD9","1540","Cancer"
"153.3","ICD9","1533","Cancer"
"152.0","ICD9","1520","Cancer"
"152.1","ICD9","1521","Cancer"
"151.5","ICD9","1515","Cancer"
"156.2","ICD9","1562","Cancer"
"153.6","ICD9","1536","Cancer"
"150.2","ICD9","1502","Cancer"
"156.8","ICD9","1568","Cancer"
"157.4","ICD9","1574","Cancer"
"150.9","ICD9","1509","Cancer"
"158.9","ICD9","1589","Cancer"
"153.1","ICD9","1531","Cancer"
"157.3","ICD9","1573","Cancer"
"151.2","ICD9","1512","Cancer"
"155.2","ICD9","1552","Cancer"
"151.4","ICD9","1514","Cancer"
"159.8","ICD9","1598","Cancer"
"153.5","ICD9","1535","Cancer"
"150.3","ICD9","1503","Cancer"
"152.2","ICD9","1522","Cancer"
"153.8","ICD9","1538","Cancer"
"154.1","ICD9","1541","Cancer"
"156.1","ICD9","1561","Cancer"
"157.8","ICD9","1578","Cancer"
"152.3","ICD9","1523","Cancer"
"150.1","ICD9","1501","Cancer"
"155.0","ICD9","1550","Cancer"
"152.9","ICD9","1529","Cancer"
"151.6","ICD9","1516","Cancer"
"150.5","ICD9","1505","Cancer"
"158.8","ICD9","1588","Cancer"
"152.8","ICD9","1528","Cancer"
"150.8","ICD9","1508","Cancer"
"153.0","ICD9","1530","Cancer"
"157.0","ICD9","1570","Cancer"
"159.0","ICD9","1590","Cancer"
"155.1","ICD9","1551","Cancer"
"151.9","ICD9","1519","Cancer"
"159.9","ICD9","1599","Cancer"
"153.7","ICD9","1537","Cancer"
"150.0","ICD9","1500","Cancer"
"158.0","ICD9","1580","Cancer"
